Age,Gender,Nationality,City,City_Tier,Marital_Status,Education,Employment_Status,Monthly_Income_AED,Has_Credit_Card,Has_Loyalty_Card,Shopping_Frequency,Preferred_Channel,Preferred_Category,Avg_Monthly_Purchases,Avg_Basket_Size_AED,Returns_Per_Year,Discount_Seeker,Social_Media_Hours_Daily,Primary_Social_Platform,Responds_To_Influencer_Ads,Clicks_Email_Campaigns,App_Sessions_Per_Week,Last_Online_Purchase_Days,Brand_Loyalty_Score,NPS_Score,Customer_Tenure_Months,Support_Tickets_Last_Year,Referrals_Made,Shops_During_Ramadan,Shops_During_DSF,Prefers_Arabic_Content,Uses_Buy_Now_Pay_Later,Will_Buy,Max_Spend
44,Female,Indian,Dubai,Tier 1,Single,High School,Employed Full-Time,24040,0,1,Monthly,In-Store,Sports,18,88,9,1,5.1,Instagram,0,0,23,92,4,8,78,4,7,1,1,0,0,1,3497
59,Male,Indian,Dubai,Tier 1,Married,Masters,Self-Employed,33564,0,1,Daily,Online,Fashion,9,2806,7,1,2.5,LinkedIn,0,1,13,82,5,10,30,3,6,1,0,1,0,0,7254
45,Male,Other,Dubai,Tier 1,Single,High School,Employed Full-Time,10790,0,0,Monthly,Online,Luxury,15,2568,1,0,4.7,Snapchat,0,1,15,116,9,10,57,3,7,1,0,1,1,0,3589
33,Female,Other,Dubai,Tier 1,Married,High School,Self-Employed,12553,1,1,Monthly,Both,Fashion,16,2176,6,1,5.8,Instagram,1,0,6,125,8,1,55,4,0,0,0,0,0,0,5058
32,Male,Jordanian,Dubai,Tier 1,Single,Bachelors,Self-Employed,9383,0,1,Bi-Weekly,Online,Sports,3,778,4,0,4.9,Facebook,0,0,15,52,8,2,2,0,1,0,0,0,0,1,3556
64,Male,Pakistani,Sharjah,Tier 2,Married,PhD,Employed Full-Time,35948,0,1,Monthly,Both,Beauty,1,733,8,0,5.6,Instagram,1,1,16,99,8,4,48,6,9,1,0,0,1,1,15553
61,Male,Emirati,Dubai,Tier 1,Married,Masters,Self-Employed,26631,0,1,Monthly,Online,Fashion,13,2140,6,1,2.4,Instagram,1,0,19,53,1,1,22,3,6,1,0,1,0,0,8113
20,Female,Emirati,Sharjah,Tier 2,Single,Masters,Employed Part-Time,29887,1,0,Monthly,Both,Electronics,14,181,0,1,6.7,LinkedIn,1,1,18,85,7,7,13,1,4,1,1,1,0,1,7460
54,Male,Indian,Dubai,Tier 1,Single,High School,Employed Part-Time,21931,1,1,Bi-Weekly,In-Store,Food and Dining,6,2174,0,1,3.9,YouTube,1,0,11,80,4,1,89,3,4,1,1,1,0,1,10429
24,Male,Emirati,Ras Al Khaimah,Tier 3,Single,Masters,Employed Full-Time,29144,0,0,Weekly,Online,Electronics,5,2019,5,0,7.9,Instagram,1,0,8,56,6,3,112,7,9,1,0,0,0,1,12692
38,Male,Emirati,Sharjah,Tier 2,Married,High School,Employed Full-Time,11992,0,1,Monthly,Both,Sports,5,88,8,1,0.7,YouTube,1,0,27,103,4,2,43,7,8,0,1,0,0,0,6517
26,Male,Other,Dubai,Tier 1,Married,Bachelors,Self-Employed,21035,1,0,Bi-Weekly,In-Store,Home and Living,4,2248,0,1,3.4,Instagram,1,0,25,87,5,3,75,5,0,1,1,0,0,0,9701
56,Female,British,Sharjah,Tier 2,Single,Bachelors,Employed Full-Time,5050,0,1,Monthly,Both,Groceries,12,1492,2,0,1.9,Instagram,0,1,7,33,5,3,112,4,4,1,1,0,0,0,5436
35,Female,Indian,Abu Dhabi,Tier 1,Married,Bachelors,Employed Full-Time,17357,0,0,Bi-Weekly,Both,Fashion,14,2415,4,0,4.7,Instagram,1,0,8,23,1,5,74,7,6,0,0,0,0,1,4232
21,Male,Indian,Sharjah,Tier 2,Single,Diploma,Self-Employed,8742,1,1,Weekly,Online,Fashion,14,1537,3,1,2.3,Instagram,0,0,4,6,6,9,49,3,4,0,0,1,1,1,6544
42,Male,Filipino,Abu Dhabi,Tier 1,Married,High School,Employed Full-Time,17369,1,1,Rarely,Both,Home and Living,11,1505,0,1,6.0,TikTok,0,0,20,85,10,9,108,4,9,1,1,0,0,1,5061
31,Female,Emirati,Abu Dhabi,Tier 1,Married,Diploma,Employed Part-Time,9044,1,1,Weekly,Both,Beauty,10,1576,9,0,7.1,YouTube,1,1,9,175,8,9,37,0,6,1,1,0,1,1,4276
26,Male,Other,Sharjah,Tier 2,Married,Bachelors,Employed Part-Time,14288,1,0,Rarely,Both,Travel,10,1342,3,1,2.1,Instagram,0,0,4,5,5,8,89,6,0,0,0,0,0,1,6232
43,Male,Pakistani,Dubai,Tier 1,Single,Bachelors,Self-Employed,11261,0,1,Weekly,In-Store,Home and Living,9,2534,3,1,1.7,TikTok,0,0,13,77,10,2,108,3,4,1,1,0,0,1,6902
19,Female,Pakistani,Dubai,Tier 1,Married,High School,Employed Full-Time,14846,1,1,Weekly,Online,Luxury,2,2724,9,0,7.1,Facebook,1,0,17,83,6,0,35,4,5,0,1,0,0,1,8021
37,Female,Pakistani,Ajman,Tier 3,Married,Bachelors,Employed Full-Time,22064,0,1,Bi-Weekly,Online,Electronics,14,2648,3,1,3.2,TikTok,1,0,28,9,5,7,19,1,5,1,0,0,1,1,9396
45,Male,Emirati,Dubai,Tier 1,Single,PhD,Employed Full-Time,17911,0,0,Rarely,Both,Sports,7,389,2,1,3.8,Facebook,0,0,6,3,1,6,28,1,3,1,1,0,1,1,4638
64,Male,Egyptian,Abu Dhabi,Tier 1,Single,Bachelors,Self-Employed,7522,1,1,Monthly,Both,Fashion,17,1294,6,1,2.2,TikTok,0,0,7,46,5,1,106,2,4,1,0,0,0,0,4031
24,Male,American,Dubai,Tier 1,Married,Masters,Employed Full-Time,21569,1,1,Monthly,In-Store,Fashion,8,707,0,1,3.7,Instagram,0,1,4,39,2,4,112,3,7,1,0,0,0,0,8532
61,Male,British,Abu Dhabi,Tier 1,Married,Diploma,Unemployed,1061,0,0,Weekly,Online,Sports,4,1749,1,0,2.2,Facebook,1,1,23,13,4,9,57,0,5,0,1,1,0,0,3632
25,Male,Indian,Fujairah,Tier 3,Married,Bachelors,Employed Part-Time,6721,1,0,Daily,Both,Luxury,5,410,0,0,5.5,Instagram,0,1,5,41,2,3,115,5,0,0,1,1,0,0,2469
64,Male,Filipino,Dubai,Tier 1,Married,Bachelors,Student,3144,0,1,Monthly,Both,Groceries,13,2022,3,0,4.2,TikTok,0,1,19,139,8,8,61,2,4,0,1,0,0,0,3105
52,Male,Filipino,Dubai,Tier 1,Married,Masters,Employed Full-Time,31649,1,0,Bi-Weekly,Both,Luxury,7,2868,4,0,6.4,TikTok,0,1,22,41,7,3,43,3,6,1,0,1,1,1,12784
31,Female,Jordanian,Sharjah,Tier 2,Single,Bachelors,Employed Full-Time,18559,1,1,Monthly,Online,Groceries,6,2287,9,0,2.8,TikTok,0,1,23,75,9,4,112,1,7,0,1,0,1,1,10403
34,Female,Indian,Sharjah,Tier 2,Single,High School,Student,2428,1,1,Monthly,Online,Travel,17,2510,4,1,4.3,Facebook,1,0,8,175,4,7,60,6,3,0,0,0,0,1,3730
53,Male,Indian,Dubai,Tier 1,Married,Bachelors,Employed Full-Time,19661,1,0,Bi-Weekly,Online,Electronics,6,378,1,1,2.4,TikTok,1,0,20,177,5,2,10,0,1,0,1,0,0,0,6638
57,Male,Egyptian,Dubai,Tier 1,Married,Bachelors,Employed Full-Time,4202,1,0,Monthly,Online,Electronics,19,1849,2,0,7.5,Snapchat,1,0,8,35,9,5,79,1,3,1,0,0,1,0,4624
21,Female,Egyptian,Ras Al Khaimah,Tier 3,Married,Masters,Employed Full-Time,33826,0,1,Monthly,Both,Luxury,3,1295,3,1,4.4,Snapchat,0,0,7,163,9,5,96,3,5,1,0,1,1,1,14177
19,Male,Pakistani,Abu Dhabi,Tier 1,Married,High School,Unemployed,452,1,1,Rarely,In-Store,Home and Living,9,1917,9,1,1.8,TikTok,1,0,16,67,2,6,67,5,5,1,1,1,1,1,3284
23,Male,Pakistani,Dubai,Tier 1,Divorced,Diploma,Employed Part-Time,12762,0,1,Bi-Weekly,Both,Beauty,15,1759,5,1,2.5,YouTube,0,1,23,132,1,8,24,0,5,1,1,1,1,1,4155
59,Female,Pakistani,Dubai,Tier 1,Married,High School,Employed Part-Time,13537,0,0,Monthly,Online,Home and Living,8,2189,5,0,1.1,YouTube,0,0,7,24,3,10,74,0,0,1,1,1,0,1,8588
21,Male,Jordanian,Abu Dhabi,Tier 1,Married,Bachelors,Self-Employed,5642,0,0,Bi-Weekly,In-Store,Food and Dining,15,489,1,1,0.7,Snapchat,1,1,28,94,10,2,44,2,6,1,1,1,0,1,1712
46,Female,Pakistani,Dubai,Tier 1,Married,Bachelors,Employed Full-Time,5365,1,1,Daily,In-Store,Home and Living,1,2342,1,0,4.4,Instagram,0,0,22,96,1,4,30,0,6,0,0,0,1,1,4710
35,Female,Other,Dubai,Tier 1,Single,High School,Self-Employed,11556,0,0,Weekly,Online,Home and Living,8,2026,8,1,3.0,TikTok,0,0,0,113,6,4,105,7,4,1,1,1,1,0,8057
43,Male,Pakistani,Ajman,Tier 3,Married,Bachelors,Employed Full-Time,4008,1,1,Weekly,In-Store,Sports,4,882,1,0,7.7,Instagram,1,1,21,84,8,4,115,3,3,1,1,1,1,0,2354
61,Male,Other,Dubai,Tier 1,Single,Masters,Self-Employed,24141,1,0,Weekly,In-Store,Travel,10,146,1,1,1.8,TikTok,0,1,17,164,4,5,97,5,2,1,0,0,0,1,7786
51,Male,Jordanian,Sharjah,Tier 2,Married,Masters,Employed Full-Time,21537,0,1,Daily,Both,Fashion,16,2049,2,0,6.5,Instagram,0,1,14,56,4,0,45,5,7,0,0,1,0,1,5482
27,Female,Indian,Dubai,Tier 1,Married,Bachelors,Employed Full-Time,16763,1,0,Monthly,Online,Home and Living,18,987,8,1,2.9,Facebook,1,1,21,4,10,8,89,4,7,1,0,0,1,1,7814
53,Female,Jordanian,Sharjah,Tier 2,Married,Bachelors,Employed Full-Time,22001,0,1,Bi-Weekly,Both,Home and Living,4,1550,5,1,2.2,Instagram,0,1,26,168,1,2,103,4,2,1,0,0,0,0,6670
31,Female,Indian,Sharjah,Tier 2,Married,Bachelors,Employed Full-Time,10722,0,0,Weekly,Both,Electronics,8,1339,5,0,7.8,YouTube,0,0,15,171,9,5,118,0,4,1,1,0,0,0,3795
48,Male,Other,Dubai,Tier 1,Single,High School,Employed Part-Time,24100,1,1,Bi-Weekly,Both,Beauty,4,624,9,1,6.5,Instagram,0,1,1,58,10,3,60,4,7,1,1,1,0,0,4368
32,Female,Egyptian,Abu Dhabi,Tier 1,Single,Masters,Employed Full-Time,24778,1,1,Bi-Weekly,Both,Electronics,10,2200,4,1,5.2,Facebook,0,0,12,62,8,6,116,5,9,1,1,1,1,1,7875
25,Female,Emirati,Dubai,Tier 1,Divorced,Masters,Employed Full-Time,21525,0,0,Daily,Online,Fashion,4,878,6,0,5.7,YouTube,1,0,1,135,3,7,53,3,9,1,1,0,1,1,7978
31,Female,Egyptian,Ajman,Tier 3,Divorced,Bachelors,Employed Full-Time,11129,1,1,Weekly,In-Store,Travel,16,562,3,1,7.9,Instagram,1,0,13,137,3,3,103,2,5,1,1,1,0,0,2152
40,Female,Other,Ajman,Tier 3,Single,Diploma,Employed Part-Time,6962,0,1,Monthly,Both,Electronics,12,715,9,0,4.9,YouTube,0,1,6,22,10,9,25,1,1,1,1,0,0,1,3900
57,Female,Emirati,Dubai,Tier 1,Divorced,High School,Employed Full-Time,8840,1,1,Monthly,In-Store,Home and Living,10,1566,9,1,1.3,TikTok,1,1,10,4,4,5,102,1,0,0,1,0,1,0,4887
38,Female,Filipino,Abu Dhabi,Tier 1,Married,Masters,Employed Part-Time,26733,1,0,Bi-Weekly,In-Store,Groceries,11,1334,2,1,1.0,YouTube,0,1,14,128,4,9,76,3,6,1,1,0,0,1,10788
33,Female,American,Dubai,Tier 1,Married,Bachelors,Employed Full-Time,24533,1,1,Bi-Weekly,Both,Beauty,2,2132,6,0,5.5,YouTube,1,0,25,164,2,6,4,2,1,0,1,0,0,1,6183
62,Male,Lebanese,Sharjah,Tier 2,Single,Bachelors,Employed Full-Time,24454,1,1,Weekly,In-Store,Fashion,16,1454,9,0,5.4,Instagram,0,0,16,35,4,9,92,3,9,1,0,1,1,1,7608
35,Male,Pakistani,Dubai,Tier 1,Married,Bachelors,Employed Full-Time,19337,1,1,Bi-Weekly,Both,Groceries,19,446,0,1,6.1,LinkedIn,0,0,20,33,2,6,84,0,9,1,0,0,0,0,4380
64,Female,Indian,Dubai,Tier 1,Married,Bachelors,Student,3299,1,0,Bi-Weekly,In-Store,Travel,12,2124,5,0,1.3,Instagram,0,1,16,135,7,8,74,2,3,1,1,0,0,0,4296
41,Male,Emirati,Abu Dhabi,Tier 1,Married,Masters,Self-Employed,13301,1,1,Monthly,Both,Groceries,4,1981,1,0,7.6,Instagram,0,1,14,105,5,7,31,5,5,0,1,0,1,1,8349
43,Female,Filipino,Dubai,Tier 1,Married,Masters,Employed Full-Time,30502,0,1,Weekly,Both,Groceries,17,1935,1,0,4.6,Instagram,0,0,15,121,7,2,19,4,6,1,0,1,1,1,11760
42,Female,Pakistani,Sharjah,Tier 2,Married,Bachelors,Employed Part-Time,17598,1,0,Monthly,Both,Groceries,12,2403,7,1,5.4,Instagram,1,0,8,175,6,3,2,0,6,1,1,0,1,0,6697
62,Female,Other,Dubai,Tier 1,Married,Masters,Student,1916,1,1,Weekly,Online,Electronics,16,2796,2,1,0.8,Snapchat,1,0,20,64,2,8,4,4,6,1,0,0,1,1,3196
58,Male,Emirati,Abu Dhabi,Tier 1,Single,Bachelors,Employed Full-Time,23616,1,1,Bi-Weekly,Online,Groceries,3,1744,8,1,7.7,TikTok,0,0,20,121,2,10,79,0,3,0,1,0,1,1,5583
46,Male,British,Dubai,Tier 1,Single,Masters,Self-Employed,12769,1,0,Bi-Weekly,In-Store,Electronics,2,630,3,1,4.7,Twitter X,0,0,19,171,1,6,38,0,9,1,1,0,0,1,2709
32,Male,Emirati,Dubai,Tier 1,Single,High School,Employed Full-Time,8484,1,1,Bi-Weekly,Both,Beauty,7,2262,5,1,4.7,TikTok,1,1,18,18,1,6,33,0,9,0,0,1,1,1,3055
62,Female,Indian,Abu Dhabi,Tier 1,Single,Bachelors,Self-Employed,17052,1,0,Bi-Weekly,In-Store,Travel,6,151,0,1,7.6,YouTube,1,1,23,3,5,0,18,6,5,1,1,0,1,0,5608
18,Female,Pakistani,Fujairah,Tier 3,Married,Bachelors,Employed Full-Time,22038,1,0,Weekly,Online,Beauty,1,504,9,0,7.5,Instagram,1,1,22,59,5,1,104,0,2,1,1,0,0,1,6013
42,Female,Pakistani,Sharjah,Tier 2,Married,Bachelors,Employed Full-Time,20975,1,1,Bi-Weekly,Online,Home and Living,15,242,9,0,2.2,Instagram,0,0,8,116,7,0,32,6,7,1,0,0,1,0,8317
24,Male,British,Dubai,Tier 1,Married,Masters,Employed Full-Time,12665,1,1,Weekly,In-Store,Electronics,12,947,2,1,7.5,Facebook,1,1,5,39,1,3,96,2,0,1,0,0,0,1,5789
26,Female,Other,Dubai,Tier 1,Single,Bachelors,Unemployed,1464,1,0,Weekly,In-Store,Travel,13,859,3,0,6.0,LinkedIn,1,0,0,64,5,3,77,7,7,1,0,0,1,0,2463
41,Female,Egyptian,Ajman,Tier 3,Married,High School,Self-Employed,7041,1,0,Weekly,Both,Groceries,8,348,4,0,0.6,Twitter X,1,0,4,81,2,4,115,7,4,1,0,0,0,1,735
18,Male,Other,Abu Dhabi,Tier 1,Single,Bachelors,Employed Part-Time,20551,0,1,Bi-Weekly,In-Store,Food and Dining,9,70,0,1,2.3,TikTok,0,0,4,60,10,4,80,2,7,0,0,1,1,1,2833
61,Female,Other,Dubai,Tier 1,Single,Masters,Employed Full-Time,28926,1,1,Weekly,Online,Electronics,1,94,3,1,3.6,Instagram,0,0,22,105,1,0,33,0,3,1,1,0,1,0,2782
25,Male,Filipino,Ajman,Tier 3,Single,Masters,Employed Full-Time,19325,0,0,Weekly,In-Store,Food and Dining,5,2593,4,1,4.9,Instagram,1,1,25,170,7,6,34,3,1,1,1,0,0,1,12834
41,Male,Jordanian,Sharjah,Tier 2,Married,Bachelors,Employed Full-Time,10967,0,1,Bi-Weekly,Both,Home and Living,7,732,3,0,5.8,Snapchat,1,1,0,109,3,5,51,0,3,0,1,1,0,0,6636
28,Female,Egyptian,Fujairah,Tier 3,Single,High School,Employed Full-Time,16199,1,1,Rarely,In-Store,Electronics,18,1763,9,1,2.1,TikTok,0,0,0,5,9,7,63,0,7,0,1,0,0,1,4211
34,Male,Emirati,Ajman,Tier 3,Married,Masters,Employed Full-Time,17110,0,0,Monthly,Online,Food and Dining,8,2320,9,1,6.8,TikTok,1,0,28,46,5,3,78,3,9,1,0,1,1,0,7475
25,Female,American,Ajman,Tier 3,Single,High School,Student,4090,1,1,Rarely,Online,Electronics,10,348,6,1,6.8,Snapchat,1,0,21,132,5,0,47,7,0,1,1,1,0,0,2462
52,Female,Emirati,Dubai,Tier 1,Married,High School,Self-Employed,17531,0,0,Bi-Weekly,Both,Sports,8,1411,7,0,5.3,Facebook,0,1,5,14,5,2,66,3,4,1,1,0,0,0,4850
52,Female,Filipino,Dubai,Tier 1,Married,High School,Employed Full-Time,24232,1,0,Bi-Weekly,Online,Travel,12,337,7,0,7.4,Facebook,0,1,8,11,9,8,13,0,5,1,1,0,1,1,9398
50,Male,British,Abu Dhabi,Tier 1,Divorced,Bachelors,Employed Part-Time,22565,1,1,Monthly,Online,Fashion,16,566,2,1,6.6,Instagram,0,0,18,22,10,9,52,1,3,1,1,0,0,1,8754
22,Female,Emirati,Abu Dhabi,Tier 1,Married,Bachelors,Student,4060,1,0,Weekly,Online,Groceries,12,2995,4,1,2.2,Snapchat,0,0,27,106,1,6,93,1,3,1,1,0,0,1,6769
59,Female,Indian,Abu Dhabi,Tier 1,Divorced,Masters,Self-Employed,19629,0,1,Daily,Both,Beauty,3,2251,9,0,6.5,Instagram,1,1,4,5,5,1,52,3,3,1,1,0,1,0,10145
56,Female,Other,Dubai,Tier 1,Married,Bachelors,Self-Employed,21405,1,1,Weekly,Online,Sports,18,2378,7,0,7.6,Instagram,0,1,20,140,10,2,43,0,2,0,0,1,0,1,7926
58,Male,Egyptian,Abu Dhabi,Tier 1,Married,Masters,Unemployed,1959,0,1,Weekly,Both,Travel,5,2531,6,0,1.5,Twitter X,1,0,16,149,6,1,106,5,9,0,0,0,0,0,4083
45,Male,Indian,Abu Dhabi,Tier 1,Single,Bachelors,Self-Employed,7492,0,1,Monthly,In-Store,Luxury,14,391,8,0,7.8,Facebook,1,0,21,79,9,3,98,7,4,0,0,1,1,0,4278
24,Female,British,Dubai,Tier 1,Single,Masters,Employed Full-Time,21365,1,0,Bi-Weekly,In-Store,Groceries,16,135,9,1,0.7,Twitter X,1,0,19,24,3,1,61,4,5,1,0,0,1,1,2758
26,Male,Filipino,Dubai,Tier 1,Single,Bachelors,Employed Full-Time,4288,1,0,Weekly,Both,Luxury,6,2876,6,1,4.4,Instagram,0,0,11,13,1,3,81,4,2,0,0,0,1,1,4724
25,Female,Pakistani,Abu Dhabi,Tier 1,Married,Bachelors,Unemployed,701,1,0,Rarely,In-Store,Food and Dining,16,240,1,0,6.3,YouTube,0,1,5,96,8,10,3,0,2,1,1,0,1,0,2589
29,Female,Other,Sharjah,Tier 2,Married,Bachelors,Employed Full-Time,5076,1,1,Bi-Weekly,In-Store,Fashion,14,1141,3,1,6.4,Instagram,1,0,28,26,9,6,94,0,8,1,0,0,0,1,2165
51,Male,British,Dubai,Tier 1,Married,High School,Employed Full-Time,19564,0,0,Bi-Weekly,Online,Electronics,5,1219,7,1,6.0,LinkedIn,1,1,12,40,6,7,68,0,1,0,1,0,1,1,6310
50,Female,Indian,Abu Dhabi,Tier 1,Divorced,Bachelors,Employed Full-Time,5371,0,1,Rarely,In-Store,Groceries,14,1040,8,1,4.5,TikTok,0,1,23,26,5,9,95,4,5,1,1,0,1,1,3361
40,Female,Lebanese,Sharjah,Tier 2,Married,Bachelors,Self-Employed,5074,0,1,Weekly,Both,Travel,11,925,6,1,5.4,Instagram,0,1,7,173,8,5,59,4,7,1,0,1,1,0,4610
41,Female,Other,Abu Dhabi,Tier 1,Married,High School,Unemployed,1321,0,1,Monthly,Both,Fashion,9,1997,4,1,5.7,TikTok,0,1,28,30,6,10,54,3,7,0,1,1,0,1,2730
54,Female,Indian,Dubai,Tier 1,Divorced,Diploma,Employed Full-Time,4039,1,0,Weekly,Both,Travel,7,1901,0,0,4.2,Instagram,1,0,2,64,6,8,69,7,0,0,1,0,1,1,5262
